userid	newsId
24378	100654455
24378	100654204
24378	100651182
24378	100654847
24378	100654434
24378	100654734
24378	100655044
24378	100654733
24378	100655104
24378	100655008
930	100654455
930	100654204
930	100651182
930	100654733
930	100654303
930	100654856
930	100654847
930	100654734
930	100654022
930	100652966
114232	100654455
114232	100654733
114232	100654204
114232	100654734
114232	100651344
114232	100654022
114232	100655044
114232	100655104
114232	100654837
114232	100654847
1162374	100654204
1162374	100654022
1162374	100651182
1162374	100651343
1162374	100655055
1162374	100655052
1162374	100655049
1162374	100655046
1162374	100653397
1162374	100654705
3133070	100654204
3133070	100654022
3133070	100653933
3133070	100653892
3133070	100653853
3133070	100653740
3133070	100653403
3133070	100653298
10017670	100651182
10017670	100652966
10017670	100653515
10017670	100654204
10017670	100653275
10017670	100651950
10017670	100651676
10017670	100649292
10017670	100646812
10017670	100653785
10164832	100654204
10164832	100651182
10164832	100654455
10164832	100655181
10164832	100652966
10164832	100654339
10164832	100651308
10164832	100654733
10164832	100654302
10164832	100487321
4253	100654204
4253	100651182
4253	100654455
4253	100654733
4253	100654434
4253	100654022
4253	100654734
4253	100654847
4253	100653515
4253	100655104
201983	100654204
201983	100651182
201983	100654455
201983	100654022
201983	100653515
201983	100652966
201983	100654303
201983	100654734
201983	100654847
201983	100655044
42406	100654455
42406	100654204
42406	100654847
42406	100654733
42406	100651182
42406	100654434
42406	100654734
42406	100654429
42406	100655104
42406	100655008
182632	100654204
182632	100651182
182632	100654455
182632	100654022
182632	100653515
182632	100654434
182632	100652966
182632	100654734
182632	100654303
182632	100655008
436316	100654455
436316	100654204
436316	100651182
436316	100654733
436316	100654434
436316	100654847
436316	100654022
436316	100654734
436316	100654429
436316	100654303
7736055	100654455
7736055	100654204
7736055	100654733
7736055	100651182
7736055	100654847
7736055	100654734
7736055	100654434
7736055	100654429
7736055	100655104
7736055	100655044
3354852	100654455
3354852	100654204
3354852	100651182
3354852	100654733
3354852	100654847
3354852	100654022
3354852	100654303
3354852	100654734
3354852	100653515
3354852	100654434
1213710	100654733
1213710	100654455
1213710	100654434
1213710	100651419
1213710	100651182
1213710	100654856
1213710	100655113
1213710	100654809
1213710	100652621
1213710	100651370
7402583	100654455
7402583	100654733
7402583	100654204
7402583	100654734
7402583	100654429
7402583	100654434
7402583	100651182
7402583	100654847
7402583	100654746
7402583	100654776
8815	100654455
8815	100654204
8815	100654847
8815	100654733
8815	100651182
8815	100654434
8815	100654429
8815	100654734
8815	100655008
8815	100655044
99739	100654455
99739	100654434
99739	100654204
99739	100651182
99739	100654733
99739	100654847
